"Variable","Group","S","pVal"
"DOCallsites","DOCallsites",0.285736961904233,0.001
"DOCwetDominated","DOCwetDominated",0.404819307499637,0.001
"DOCmixed","DOCmixed",0.241302556846016,0.001
"DOCagDominated","DOCagDominated",0.552482546392783,0.001
"A350allsites","A350allsites",0.226118767155649,0.001
"A350wetDominated","A350wetDominated",0.300397406406457,0.001
"A350mixed","A350mixed",0.205329431446934,0.001
"A350agDominated","A350agDominated",0.217595367476383,0.001
"SRallsites","SRallsites",0.340369695808044,0.001
"SRwetDominated","SRwetDominated",0.143887556909305,0.01
"SRmixed","SRmixed",0.307674713426193,0.001
"SRagDominated","SRagDominated",0.403974521004748,0.001
"BAallsites","BAallsites",0.783020707446781,0.001
"BAwetDominated","BAwetDominated",0.693915191152195,0.001
"BAmixed","BAmixed",0.754824659284572,0.001
"BAagDominated","BAagDominated",0.530863970069742,0.001
"FIallsites","FIallsites",0.738186201955299,0.001
"FIwetDominated","FIwetDominated",0.544668738693452,0.001
"FImixed","FImixed",0.706292906788595,0.001
"FIagDominated","FIagDominated",0.383720898138533,0.001
"HIXOHNOallsites","HIXOHNOallsites",0.141347021107807,0.001
"HIXOHNOwetDominated","HIXOHNOwetDominated",0.165950876175259,0.005
"HIXOHNOmixed","HIXOHNOmixed",0.141574847389676,0.001
"HIXOHNOagDominated","HIXOHNOagDominated",0.101607441992725,0.039
"C1allsites","C1allsites",0.212181540699707,0.001
"C1wetDominated","C1wetDominated",0.285848310313074,0.001
"C1mixed","C1mixed",0.137939148689632,0.001
"C1agDominated","C1agDominated",0.176373090124162,0.008
"C2allsites","C2allsites",0.206760923593241,0.001
"C2wetDominated","C2wetDominated",0.273667745366621,0.001
"C2mixed","C2mixed",0.145541993898195,0.001
"C2agDominated","C2agDominated",0.209570438865227,0.001
"C3allsites","C3allsites",0.456218317908899,0.001
"C3wetDominated","C3wetDominated",0.48206939293449,0.001
"C3mixed","C3mixed",0.357015455085497,0.001
"C3agDominated","C3agDominated",0.272333650524398,0.001
"C4allsites","C4allsites",0.174378378939646,0.001
"C4wetDominated","C4wetDominated",0.256584379662144,0.002
"C4mixed","C4mixed",0.126380665489313,0.001
"C4agDominated","C4agDominated",0.17778647682618,0.006
"C5allsites","C5allsites",0.294480304283802,0.001
"C5wetDominated","C5wetDominated",0.377449259464506,0.001
"C5mixed","C5mixed",0.277252487135985,0.001
"C5agDominated","C5agDominated",0.370866677731966,0.001
"C6allsites","C6allsites",0.855269979758281,0.001
"C6wetDominated","C6wetDominated",0.748305845605747,0.001
"C6mixed","C6mixed",0.791349759593671,0.001
"C6agDominated","C6agDominated",0.55407301719953,0.001
"C7allsites","C7allsites",0.193211541872133,0.001
"C7wetDominated","C7wetDominated",0.428198139847042,0.001
"C7mixed","C7mixed",0.132265504082105,0.001
"C7agDominated","C7agDominated",0.282000954368523,0.001
"SUVA254allsites","SUVA254allsites",0.365534123288844,0.001
"SUVA254wetDominated","SUVA254wetDominated",0.204034651704224,0.002
"SUVA254mixed","SUVA254mixed",0.354968284417201,0.001
"SUVA254agDominated","SUVA254agDominated",0.373898234352011,0.001
"DOallsites","DOallsites",0.492576601674319,0.001
"DOwetDominated","DOwetDominated",0.328481480538716,0.001
"DOmixed","DOmixed",0.488364057356268,0.001
"DOagDominated","DOagDominated",0.292782423686895,0.001
"pHallsites","pHallsites",0.38412081196955,0.001
"pHwetDominated","pHwetDominated",0.44783492958713,0.001
"pHmixed","pHmixed",0.385228513751064,0.001
"pHagDominated","pHagDominated",0.218040409103352,0.002
"S.CONDallsites","S.CONDallsites",0.154159301971164,0.001
"S.CONDwetDominated","S.CONDwetDominated",0.530538518073778,0.001
"S.CONDmixed","S.CONDmixed",0.139323140172727,0.001
"S.CONDagDominated","S.CONDagDominated",0.0428031808790872,0.357
"SRPallsites","SRPallsites",0.5637307206567,0.001
"SRPwetDominated","SRPwetDominated",0.232347723991891,0.017
"SRPmixed","SRPmixed",0.551420068495577,0.001
"SRPagDominated","SRPagDominated",0.431508183379975,0.002
"TDPallsites","TDPallsites",0.531121600219585,0.001
"TDPwetDominated","TDPwetDominated",0.617959326457335,0.001
"TDPmixed","TDPmixed",0.5491712864104,0.001
"TDPagDominated","TDPagDominated",0.585824049500802,0.001
"TEMPallsites","TEMPallsites",0.750763242035679,0.001
"TEMPwetDominated","TEMPwetDominated",0.855454051635223,0.001
"TEMPmixed","TEMPmixed",0.76804618808308,0.001
"TEMPagDominated","TEMPagDominated",0.857882814036143,0.001
"TPallsites","TPallsites",0.44026078410577,0.001
"TPwetDominated","TPwetDominated",0.323873645427744,0.001
"TPmixed","TPmixed",0.428485650392861,0.001
"TPagDominated","TPagDominated",0.630504911779143,0.001
"TSSallsites","TSSallsites",0.169987013362318,0.001
"TSSwetDominated","TSSwetDominated",0.0909721537459288,0.052
"TSSmixed","TSSmixed",0.145824954633719,0.001
"TSSagDominated","TSSagDominated",0.155481689082064,0.005
"A254allsites","A254allsites",0.003322259136213,0.898
"A254wetDominated","A254wetDominated",0.237308804663737,0.064
"A254mixed","A254mixed",0.0640394088669951,0.097
"A254agDominated","A254agDominated",-0.0714285714285715,0.858
"Cthallsites","Cthallsites",0.224725076329332,0.001
"CthwetDominated","CthwetDominated",0.298056034325694,0.001
"Cthmixed","Cthmixed",0.135907874265752,0.001
"CthagDominated","CthagDominated",0.186918555808108,0.002
"Cmhallsites","Cmhallsites",0.663905296904217,0.001
"CmhwetDominated","CmhwetDominated",0.545919761046532,0.001
"Cmhmixed","Cmhmixed",0.545496664808932,0.001
"CmhagDominated","CmhagDominated",0.516767849190881,0.001
"Cmpallsites","Cmpallsites",0.193211541872133,0.001
"CmpwetDominated","CmpwetDominated",0.428198139847042,0.001
"Cmpmixed","Cmpmixed",0.132265504082105,0.001
"CmpagDominated","CmpagDominated",0.282000954368523,0.001
"Cfallsites","Cfallsites",0.174378378939646,0.001
"CfwetDominated","CfwetDominated",0.256584379662144,0.002
"Cfmixed","Cfmixed",0.126380665489313,0.001
"CfagDominated","CfagDominated",0.17778647682618,0.004
