Stream,Site_Num
Pigeon River,1
McLaren Creek,2
Martin Creek,3
Pearns (Perrin) Creek,4
Staples River,5
Beaverton River or Creek,6
Tributary to Mariposa Brook,7
Layton River,8
Mariposa Brook/Scugog,9
Whytes Creek,10
Talbot River,11
Bluffs Creek,12
Hawkstone Creek,13
Schomberg River,14
Maskinonge (Jersey) River,15
Black River,16
Zephyr Creek,17
Uxbridge Brook,18
Scugog River,19
Dickie10 L. Stream,20
PC108,21
Burnt River,22
North Martin Creek,23
Otonabee River,24
Chub-1,25
Harp-4,26
Lower Nottawasaga River,27
Sheldon Creek,28
Emily Creek,29
Black River,30
Beaver River Upstream,31
Beenton Creek,32
Nottawasaga River,33
Penville Creek,34
Innisfil Creek,35
Meade Creek,36
Baxter Creek,37
Jackson Creek,38
Tributary to Boyne River,39
Boyne River,40
Tributary to Schomber Canal,42
Fleetwood Creek,43
Coldwater Creek,44
Cavanville Creek,45
East Cross Creek,46
Ausable River,47
Fish Creek,48
Humber River,49
Indian River,50
Nonquon River,51
Site 52,52
Sydenham River,53
Teeswater,54
Thames River (not in Thames watershed),55
Thames River alternate site (actual Thames R.),55.5
RR 25,56
DS Derry Raod,57
Bell South,58
Peru,59
Bronte,60
Tremaine,61